#queryIndex	queryItem	stringId	preferredName	annotation
552	Ribonuclease T2	9606.ENSP00000426455	RNASET2	Ribonuclease T2; Has ribonuclease activity, with higher activity at acidic pH. Probably is involved in lysosomal degradation of ribosomal RNA (By similarity). Probably plays a role in cellular RNA catabolism. Belongs to the RNase T2 family.
553	NCK-interacting protein with SH3 domain	9606.ENSP00000294129	NCKIPSD	NCK-interacting protein with SH3 domain; Has an important role in stress fiber formation induced by active diaphanous protein homolog 1 (DRF1). Induces microspike formation, in vivo (By similarity). In vitro, stimulates N-WASP-induced ARP2/3 complex activation in the absence of CDC42 (By similarity). May play an important role in the maintenance of sarcomeres and/or in the assembly of myofibrils into sarcomeres. Implicated in regulation of actin polymerization and cell adhesion. Plays a role in angiogenesis.
554	Estradiol 17-beta-dehydrogenase 11	9606.ENSP00000351035	HSD17B11	Estradiol 17-beta-dehydrogenase 11; Can convert androstan-3-alpha,17-beta-diol (3-alpha-diol) to androsterone in vitro, suggesting that it may participate in androgen metabolism during steroidogenesis. May act by metabolizing compounds that stimulate steroid synthesis and/or by generating metabolites that inhibit it. Has no activity toward DHEA (dehydroepiandrosterone), or A- dione (4-androste-3,17-dione), and only a slight activity toward testosterone to A-dione. Tumor-associated antigen in cutaneous T-cell lymphoma.
555	Catechol O-methyltransferase	9606.ENSP00000305742	LRTOMT	Transmembrane O-methyltransferase; Catalyzes the O-methylation, and thereby the inactivation, of catecholamine neurotransmitters and catechol hormones (By similarity). Required for auditory function. Component of the cochlear hair cell's mechanotransduction (MET) machinery. Involved in the assembly of the asymmetric tip-link MET complex. Required for transportation of TMC1 and TMC2 proteins into the mechanically sensitive stereocilia of the hair cells. The function in MET is independent of the enzymatic activity (By similarity). Belongs to the class I-like SAM-binding methyltransferase [...] 
556	Secretory carrier-associated membrane protein 2	9606.ENSP00000268099	SCAMP2	Secretory carrier-associated membrane protein 2; Functions in post-Golgi recycling pathways. Acts as a recycling carrier to the cell surface; Belongs to the SCAMP family.
557	GTP-binding protein Rheb	9606.ENSP00000262187	RHEB	GTP-binding protein Rheb; Activates the protein kinase activity of mTORC1, and thereby plays a role in the regulation of apoptosis. Stimulates the phosphorylation of S6K1 and EIF4EBP1 through activation of mTORC1 signaling. Has low intrinsic GTPase activity.
558	Thioredoxin-dependent peroxide reductase, mitochondrial	9606.ENSP00000298510	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial; Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides. Acts synergistically with MAP3K13 to regulate the activation of NF-kappa-B in the cytosol.
559	CD81 antigen	9606.ENSP00000263645	CD81	CD81 antigen; Structural component of specialized membrane microdomains known as tetraspanin-enriched microdomains (TERMs), which act as platforms for receptor clustering and signaling. Essential for trafficking and compartmentalization of CD19 receptor on the surface of activated B cells. Upon initial encounter with microbial pathogens, enables the assembly of CD19-CR2/CD21 and B cell receptor (BCR) complexes at signaling TERMs, lowering the threshold dose of antigen required to trigger B cell clonal expansion and antibody production. In T cells, facilitates the localization of CD247/ [...] 
560	ATP synthase subunit delta, mitochondrial	9606.ENSP00000215375	ATP5F1D	ATP synthase subunit delta, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP turnover in the catalytic domain of F(1) is coupled via a rotary mechanism of the c [...] 
561	Kinesin-like protein KIFC1	9606.ENSP00000393963	KIFC1	Kinesin-like protein KIFC1; Minus end-directed microtubule-dependent motor required for bipolar spindle formation. May contribute to movement of early endocytic vesicles (By similarity). Regulates cilium formation and structure (By similarity); Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family. NCD subfamily.
562	Protein MON2 homolog	9606.ENSP00000377250	MON2	Protein MON2 homolog; May be required for traffic between late Golgi and early endosomes.
563	T-complex protein 11-like protein 1	9606.ENSP00000335595	TCP11L1	T-complex protein 11-like protein 1; T-complex 11 like 1.
564	Trans-3-hydroxy-L-proline dehydratase	9606.ENSP00000247194	L3HYPDH	Trans-3-hydroxy-L-proline dehydratase; Catalyzes the dehydration of trans-3-hydroxy-L-proline to Delta(1)-pyrroline-2-carboxylate (Pyr2C). May be required to degrade trans-3-hydroxy-L-proline from the diet and originating from the degradation of proteins such as collagen-IV that contain it.
565	Vacuolar protein sorting-associated protein 33B	9606.ENSP00000327650	VPS33B	Vacuolar protein sorting-associated protein 33B; May play a role in vesicle-mediated protein trafficking to lysosomal compartments and in membrane docking/fusion reactions of late endosomes/lysosomes. Mediates phagolysosomal fusion in macrophages. Proposed to be involved in endosomal maturation implicating VIPAS39. In epithelial cells, the VPS33B:VIPAS39 complex may play a role in the apical recycling pathway and in the maintenance of the apical-basolateral polarity. Seems to be involved in the sorting of specific cargos from the trans-Golgi network to alpha-granule-destined multivesic [...] 
566	Acylphosphatase	9606.ENSP00000450873	ACYP1	Acylphosphatase-1; Its physiological role is not yet clear; Belongs to the acylphosphatase family.
567	Rho GTPase-activating protein 31	9606.ENSP00000264245	ARHGAP31	Rho GTPase-activating protein 31; Functions as a GTPase-activating protein (GAP) for RAC1 and CDC42. Required for cell spreading, polarized lamellipodia formation and cell migration.
568	Insulin-like growth factor 2 mRNA-binding protein 2	9606.ENSP00000410242	IGF2BP2	Insulin-like growth factor 2 mRNA-binding protein 2; RNA-binding factor that recruits target transcripts to cytoplasmic protein-RNA complexes (mRNPs). This transcript 'caging' into mRNPs allows mRNA transport and transient storage. It also modulates the rate and location at which target transcripts encounter the translational apparatus and shields them from endonuclease attacks or microRNA-mediated degradation (By similarity). Binds to the 5'-UTR of the insulin-like growth factor 2 (IGF2) mRNAs. Binding is isoform- specific. Binds to beta-actin/ACTB and MYC transcripts.
569	Ubiquitin-protein ligase E3C	9606.ENSP00000309198	UBE3C	Ubiquitin-protein ligase E3C; E3 ubiquitin-protein ligase that accepts ubiquitin from the E2 ubiquitin-conjugating enzyme UBE2D1 in the form of a thioester and then directly transfers the ubiquitin to targeted substrates. Can assemble unanchored poly-ubiquitin chains in either 'Lys-29'- or 'Lys- 48'-linked polyubiquitin chains. Has preference for 'Lys-48' linkages. It can target itself for ubiquitination in vitro and may promote its own degradation in vivo.
570	Neuropathy target esterase	9606.ENSP00000407509	PNPLA6	Neuropathy target esterase; Phospholipase B that deacylates intracellular phosphatidylcholine (PtdCho), generating glycerophosphocholine (GroPtdCho). This deacylation occurs at both sn-2 and sn-1 positions of PtdCho. Its specific chemical modification by certain organophosphorus (OP) compounds leads to distal axonopathy.
571	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	9606.ENSP00000378405	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial; Catalyzes the phosphorylation and inactivation of the branched-chain alpha-ketoacid dehydrogenase complex, the key regulatory enzyme of the valine, leucine and isoleucine catabolic pathways. Key enzyme that regulate the activity state of the BCKD complex.
572	2',5'-phosphodiesterase 12	9606.ENSP00000309142	PDE12	2',5'-phosphodiesterase 12; Enzyme that cleaves 2',5'-phosphodiester bond linking adenosines of the 5'-triphosphorylated oligoadenylates, triphosphorylated oligoadenylates referred as 2-5A modulates the 2-5A system. Degrades triphosphorylated 2-5A to produce AMP and ATP. Also cleaves 3',5'-phosphodiester bond of oligoadenylates. Plays a role as a negative regulator of the 2-5A system that is one of the major pathways for antiviral and antitumor functions induced by interferons (IFNs). Suppression of this enzyme increases cellular 2-5A levels and decreases viral replication in cultured  [...] 
573	Ataxin-2	9606.ENSP00000446576	ATXN2	Ataxin-2; Involved in EGFR trafficking, acting as negative regulator of endocytic EGFR internalization at the plasma membrane.
574	Astrocytic phosphoprotein PEA-15	9606.ENSP00000357055	PEA15	Astrocytic phosphoprotein PEA-15; Blocks Ras-mediated inhibition of integrin activation and modulates the ERK MAP kinase cascade. Inhibits RPS6KA3 activities by retaining it in the cytoplasm (By similarity). Inhibits both TNFRSF6- and TNFRSF1A-mediated CASP8 activity and apoptosis. Regulates glucose transport by controlling both the content of SLC2A1 glucose transporters on the plasma membrane and the insulin-dependent trafficking of SLC2A4 from the cell interior to the surface.
576	E2/E3 hybrid ubiquitin-protein ligase UBE2O	9606.ENSP00000323687	UBE2O	(E3-independent) E2 ubiquitin-conjugating enzyme; E2/E3 hybrid ubiquitin-protein ligase that displays both E2 and E3 ligase activities and mediates monoubiquitination of target proteins. Negatively regulates TRAF6-mediated NF-kappa-B activation independently of its E2 activity. Acts as a positive regulator of BMP7 signaling by mediating monoubiquitination of SMAD6, thereby regulating adipogenesis. Mediates monoubiquitination at different sites of the nuclear localization signal (NLS) of BAP1, leading to cytoplasmic retention of BAP1. Also able to monoubiquitinate the NLS of other chrom [...] 
577	Kinesin light chain 1	9606.ENSP00000414982	KLC1	Kinesin light chain 1; Kinesin is a microtubule-associated force-producing protein that may play a role in organelle transport. The light chain may function in coupling of cargo to the heavy chain or in the modulation of its ATPase activity.
578	V-type proton ATPase subunit H	9606.ENSP00000352522	ATP6V1H	V-type proton ATPase subunit H; Subunit of the peripheral V1 complex of vacuolar ATPase. Subunit H activates the ATPase activity of the enzyme and couples ATPase activity to proton flow. Vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells, thus providing most of the energy required for transport processes in the vacuolar system (By similarity). Involved in the endocytosis mediated by clathrin-coated pits, required for the formation of endosomes.
579	U2 small nuclear ribonucleoprotein A'	9606.ENSP00000254193	SNRPA1	U2 small nuclear ribonucleoprotein A; Involved in pre-mRNA splicing as component of the spliceosome. Associated with sn-RNP U2, where it contributes to the binding of stem loop IV of U2 snRNA. Belongs to the U2 small nuclear ribonucleoprotein A family.
580	Bromodomain-containing protein 2	9606.ENSP00000378702	BRD2	Bromodomain-containing protein 2; May play a role in spermatogenesis or folliculogenesis (By similarity). Binds hyperacetylated chromatin and plays a role in the regulation of transcription, probably by chromatin remodeling. Regulates transcription of the CCND1 gene. Plays a role in nucleosome assembly.
581	Protein misato homolog 1	9606.ENSP00000245564	MSTO1	Protein misato homolog 1; Involved in the regulation of mitochondrial distribution and morphology. Required for mitochondrial fusion and mitochondrial network formation.
582	Dipeptidyl peptidase 9	9606.ENSP00000262960	DPP9	Dipeptidyl peptidase 9; Dipeptidyl peptidase that cleaves off N-terminal dipeptides from proteins having a Pro or Ala residue at position 2.
583	Interferon-induced, double-stranded RNA-activated protein kinase	9606.ENSP00000233057	EIF2AK2	Interferon-induced, double-stranded RNA-activated protein kinase; IFN-induced dsRNA-dependent serine/threonine-protein kinase which plays a key role in the innate immune response to viral infection and is also involved in the regulation of signal transduction, apoptosis, cell proliferation and differentiation. Exerts its antiviral activity on a wide range of DNA and RNA viruses including hepatitis C virus (HCV), hepatitis B virus (HBV), measles virus (MV) and herpes simplex virus 1 (HHV-1). Inhibits viral replication via phosphorylation of the alpha subunit of eukaryotic initiation fac [...] 
584	Peroxiredoxin-1	9606.ENSP00000262746	PRDX1	Peroxiredoxin-1; Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides and as sensor of hydrogen peroxide-mediated signaling events. Might participate in the signaling cascades of growth factors and tumor necrosis factor-alpha by regulating the intracellular concentrations of H(2)O(2). Reduces an intramolecular disulfide bond in GDPD5 that gates the ability to GDPD5 to drive postmitotic motor neuron differentiation (By s [...] 
585	14 kDa phosphohistidine phosphatase	9606.ENSP00000247665	PHPT1	14 kDa phosphohistidine phosphatase; Exhibits phosphohistidine phosphatase activity. Belongs to the janus family.
586	Dehydrogenase/reductase SDR family member 1	9606.ENSP00000380027	DHRS1	Dehydrogenase/reductase SDR family member 1; Dehydrogenase/reductase 1; Belongs to the short-chain dehydrogenases/reductases (SDR) family.
587	Bcl10-interacting CARD protein	9606.ENSP00000364613	CARD19	Caspase recruitment domain-containing protein 19; Plays a role in inhibiting the effects of BCL10-induced activation of NF-kappa-B. May inhibit the phosphorylation of BCL10 in a CARD-dependent manner.
588	F-actin-capping protein subunit alpha-1	9606.ENSP00000263168	CAPZA1	F-actin-capping protein subunit alpha-1; F-actin-capping proteins bind in a Ca(2+)-independent manner to the fast growing ends of actin filaments (barbed end) thereby blocking the exchange of subunits at these ends. Unlike other capping proteins (such as gelsolin and severin), these proteins do not sever actin filaments. May play a role in the formation of epithelial cell junctions.
589	Glycogen phosphorylase, muscle form	9606.ENSP00000164139	PYGM	Glycogen phosphorylase, muscle form; Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties.
590	Ras GTPase-activating-like protein IQGAP3	9606.ENSP00000354451	IQGAP3	Ras GTPase-activating-like protein IQGAP3; IQ motif containing GTPase activating protein 3.
591	Ubiquitin domain-containing protein UBFD1	9606.ENSP00000379217	UBFD1	Ubiquitin domain-containing protein UBFD1; May play a role as NF-kappa-B regulator.
593	RNA 3'-terminal phosphate cyclase	9606.ENSP00000260563	RTCA	RNA 3'-terminal phosphate cyclase; Catalyzes the conversion of 3'-phosphate to a 2',3'-cyclic phosphodiester at the end of RNA. The mechanism of action of the enzyme occurs in 3 steps: (A) adenylation of the enzyme by ATP; (B) transfer of adenylate to an RNA-N3'P to produce RNA-N3'PP5'A; (C) and attack of the adjacent 2'-hydroxyl on the 3'-phosphorus in the diester linkage to produce the cyclic end product. The biological role of this enzyme is unknown but it is likely to function in some aspects of cellular RNA processing; Belongs to the RNA 3'-terminal cyclase family. Type 1 subfamily.
594	Glycerol-3-phosphate dehydrogenase	9606.ENSP00000308610	GPD2	Glycerol-3-phosphate dehydrogenase, mitochondrial; Glycerol-3-phosphate dehydrogenase 2; Belongs to the FAD-dependent glycerol-3-phosphate dehydrogenase family.
595	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	9606.ENSP00000343657	MCCC2	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial; Carboxyltransferase subunit of the 3-methylcrotonyl-CoA carboxylase, an enzyme that catalyzes the conversion of 3- methylcrotonyl-CoA to 3-methylglutaconyl-CoA, a critical step for leucine and isovaleric acid catabolism; Belongs to the AccD/PCCB family.
596	Transmembrane protein 14C	9606.ENSP00000444561	TMEM14C	Transmembrane protein 14C; Required for normal heme biosynthesis.
597	Thymidine kinase 2, mitochondrial	9606.ENSP00000299697	TK2	Thymidine kinase 2, mitochondrial; Phosphorylates thymidine, deoxycytidine, and deoxyuridine in the mitochondrial matrix. In non-replicating cells, where cytosolic dNTP synthesis is down-regulated, mtDNA synthesis depends solely on TK2 and DGUOK. Widely used as target of antiviral and chemotherapeutic agents; Belongs to the DCK/DGK family.
598	NADH-ubiquinone oxidoreductase chain 4	9606.ENSP00000354961	MT-ND4	NADH-ubiquinone oxidoreductase chain 4; Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity).
600	DNA dC->dU-editing enzyme APOBEC-3G	9606.ENSP00000385057	APOBEC3G	DNA dC->dU-editing enzyme APOBEC-3G; DNA deaminase (cytidine deaminase) which acts as an inhibitor of retrovirus replication and retrotransposon mobility via deaminase- dependent and -independent mechanisms. Exhibits potent antiviral activity against vif-deficient HIV-1. After the penetration of retroviral nucleocapsids into target cells of infection and the initiation of reverse transcription, it can induce the conversion of cytosine to uracil in the minus-sense single-strand viral DNA, leading to G-to-A hypermutations in the subsequent plus-strand viral DNA. The resultant detrimental [...] 
601	60S ribosomal protein L22	9606.ENSP00000346088	RPL22	Ribosomal protein L22; Belongs to the eukaryotic ribosomal protein eL22 family.
602	WD repeat-containing protein 47	9606.ENSP00000383599	WDR47	WD repeat domain 47.
603	Polypyrimidine tract-binding protein 3	9606.ENSP00000414921	PTBP3	Polypyrimidine tract-binding protein 3; RNA-binding protein that mediates pre-mRNA alternative splicing regulation. Plays a role in the regulation of cell proliferation, differentiation and migration. Positive regulator of EPO-dependent erythropoiesis. Participates in cell differentiation regulation by repressing tissue-specific exons. Promotes FAS exon 6 skipping. Binds RNA, preferentially to both poly(G) and poly(U).
604	Minor histocompatibility antigen H13	9606.ENSP00000381237	HM13	Minor histocompatibility antigen H13; Catalyzes intramembrane proteolysis of some signal peptides after they have been cleaved from a preprotein, resulting in the release of the fragment from the ER membrane into the cytoplasm. Required to generate lymphocyte cell surface (HLA-E) epitopes derived from MHC class I signal peptides. May be necessary for the removal of the signal peptide that remains attached to the hepatitis C virus core protein after the initial proteolytic processing of the polyprotein. Involved in the intramembrane cleavage of the integral membrane protein PSEN1. Cleav [...] 
605	Tropomyosin alpha-3 chain	9606.ENSP00000498577	TPM3	Tropomyosin alpha-3 chain; Binds to actin filaments in muscle and non-muscle cells. Plays a central role, in association with the troponin complex, in the calcium dependent regulation of vertebrate striated muscle contraction. Smooth muscle contraction is regulated by interaction with caldesmon. In non-muscle cells is implicated in stabilizing cytoskeleton actin filaments; Belongs to the tropomyosin family.
607	Macrophage-capping protein	9606.ENSP00000263867	CAPG	Macrophage-capping protein; Calcium-sensitive protein which reversibly blocks the barbed ends of actin filaments but does not sever preformed actin filaments. May play an important role in macrophage function. May play a role in regulating cytoplasmic and/or nuclear structures through potential interactions with actin. May bind DNA.
609	Rho-related GTP-binding protein RhoC	9606.ENSP00000285735	RHOC	Rho-related GTP-binding protein RhoC; Regulates a signal transduction pathway linking plasma membrane receptors to the assembly of focal adhesions and actin stress fibers. Serves as a microtubule-dependent signal that is required for the myosin contractile ring formation during cell cycle cytokinesis. Regulates apical junction formation in bronchial epithelial cells.
610	Adrenodoxin, mitochondrial	9606.ENSP00000260270	FDX1	Adrenodoxin, mitochondrial; Essential for the synthesis of various steroid hormones. Participates in the reduction of mitochondrial cytochrome P450 for steroidogenesis. Transfers electrons from adrenodoxin reductase to CYP11A1, a cytochrome P450 that catalyzes cholesterol side-chain cleavage. Does not form a ternary complex with adrenodoxin reductase and CYP11A1 but shuttles between the two enzymes to transfer electrons (By similarity). Belongs to the adrenodoxin/putidaredoxin family.
611	Kinesin-like protein KIF13A	9606.ENSP00000259711	KIF13A	Kinesin-like protein KIF13A; Plus end-directed microtubule-dependent motor protein involved in intracellular transport and regulating various processes such as mannose-6-phosphate receptor (M6PR) transport to the plasma membrane, endosomal sorting during melanosome biogenesis and cytokinesis. Mediates the transport of M6PR-containing vesicles from trans-Golgi network to the plasma membrane via direct interaction with the AP-1 complex. During melanosome maturation, required for delivering melanogenic enzymes from recycling endosomes to nascent melanosomes by creating peripheral recyclin [...] 
612	Mimecan	9606.ENSP00000364711	OGN	Mimecan; Induces bone formation in conjunction with TGF-beta-1 or TGF- beta-2.
613	Thioredoxin domain-containing protein 9	9606.ENSP00000264255	TXNDC9	Thioredoxin domain-containing protein 9; Significantly diminishes the chaperonin TCP1 complex ATPase activity, thus negatively impacts protein folding, including that of actin or tubulin.
614	Negative elongation factor C/D	9606.ENSP00000473290	NELFCD	Negative elongation factor C/D; Essential component of the NELF complex, a complex that negatively regulates the elongation of transcription by RNA polymerase II. The NELF complex, which acts via an association with the DSIF complex and causes transcriptional pausing, is counteracted by the P-TEFb kinase complex. Belongs to the NELF-D family.
615	Tyrosine-protein kinase CSK	9606.ENSP00000220003	CSK	Tyrosine-protein kinase CSK; Non-receptor tyrosine-protein kinase that plays an important role in the regulation of cell growth, differentiation, migration and immune response. Phosphorylates tyrosine residues located in the C- terminal tails of Src-family kinases (SFKs) including LCK, SRC, HCK, FYN, LYN, CSK or YES1. Upon tail phosphorylation, Src-family members engage in intramolecular interactions between the phosphotyrosine tail and the SH2 domain that result in an inactive conformation. To inhibit SFKs, CSK is recruited to the plasma membrane via binding to transmembrane proteins  [...] 
616	Beta-adrenergic receptor kinase 1	9606.ENSP00000312262	GRK2	Beta-adrenergic receptor kinase 1; Specifically phosphorylates the agonist-occupied form of the beta-adrenergic and closely related receptors, probably inducing a desensitization of them. Key regulator of LPAR1 signaling. Competes with RALA for binding to LPAR1 thus affecting the signaling properties of the receptor. Desensitizes LPAR1 and LPAR2 in a phosphorylation- independent manner. Positively regulates ciliary smoothened (SMO)-dependent Hedgehog (Hh) signaling pathway by facilitating the trafficking of SMO into the cilium and the stimulation of SMO activity (By similarity). Belong [...] 
617	ATP synthase subunit alpha, mitochondrial	9606.ENSP00000381736	ATP5F1A	ATP synthase subunit alpha, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the  [...] 
618	Beta-glucuronidase	9606.ENSP00000302728	GUSB	Beta-glucuronidase; Plays an important role in the degradation of dermatan and keratan sulfates; Belongs to the glycosyl hydrolase 2 family.
620	Mitogen-activated protein kinase 14	9606.ENSP00000229795	MAPK14	Mitogen-activated protein kinase 14; Serine/threonine kinase which acts as an essential component of the MAP kinase signal transduction pathway. MAPK14 is one of the four p38 MAPKs which play an important role in the cascades of cellular responses evoked by extracellular stimuli such as proinflammatory cytokines or physical stress leading to direct activation of transcription factors. Accordingly, p38 MAPKs phosphorylate a broad range of proteins and it has been estimated that they may have approximately 200 to 300 substrates each. Some of the targets are downstream kinases which are a [...] 
621	Cdc42-interacting protein 4	9606.ENSP00000320117	TRIP10	Cdc42-interacting protein 4; Required for translocation of GLUT4 to the plasma membrane in response to insulin signaling (By similarity). Required to coordinate membrane tubulation with reorganization of the actin cytoskeleton during endocytosis. Binds to lipids such as phosphatidylinositol 4,5- bisphosphate and phosphatidylserine and promotes membrane invagination and the formation of tubules. Also promotes CDC42-induced actin polymerization by recruiting WASL/N-WASP which in turn activates the Arp2/3 complex. Actin polymerization may promote the fission of membrane tubules to form en [...] 
622	Nuclear factor NF-kappa-B p105 subunit	9606.ENSP00000226574	NFKB1	Nuclear factor NF-kappa-B p105 subunit; NF-kappa-B is a pleiotropic transcription factor present in almost all cell types and is the endpoint of a series of signal transduction events that are initiated by a vast array of stimuli related to many biological processes such as inflammation, immunity, differentiation, cell growth, tumorigenesis and apoptosis. NF-kappa-B is a homo- or heterodimeric complex formed by the Rel-like domain- containing proteins RELA/p65, RELB, NFKB1/p105, NFKB1/p50, REL and NFKB2/p52 and the heterodimeric p65-p50 complex appears to be most abundant one. The dime [...] 
623	Cysteine and histidine-rich domain-containing protein 1	9606.ENSP00000319255	CHORDC1	Cysteine and histidine-rich domain-containing protein 1; Regulates centrosome duplication, probably by inhibiting the kinase activity of ROCK2. Proposed to act as co-chaperone for HSP90. May play a role in the regulation of NOD1 via a HSP90 chaperone complex. In vitro, has intrinsic chaperone activity. This function may be achieved by inhibiting association of ROCK2 with NPM1. Involved in stress response. Prevents tumorigenesis.
624	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	9606.ENSP00000264932	SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial; Flavoprotein (FP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q). Can act as a tumor suppressor ; Belongs to the FAD-dependent oxidoreductase 2 family. FRD/SDH subfamily.
626	Endoplasmic reticulum resident protein 29	9606.ENSP00000261735	ERP29	Endoplasmic reticulum resident protein 29; Does not seem to be a disulfide isomerase. Plays an important role in the processing of secretory proteins within the endoplasmic reticulum (ER), possibly by participating in the folding of proteins in the ER.
627	Cytoplasmic dynein 2 heavy chain 1	9606.ENSP00000497174	DYNC2H1	Cytoplasmic dynein 2 heavy chain 1; May function as a motor for intraflagellar retrograde transport. Functions in cilia biogenesis. May play a role in transport between endoplasmic reticulum and Golgi or organization of the Golgi in cells (By similarity).
628	Rho-associated protein kinase 2	9606.ENSP00000317985	ROCK2	Rho-associated protein kinase 2; Protein kinase which is a key regulator of actin cytoskeleton and cell polarity. Involved in regulation of smooth muscle contraction, actin cytoskeleton organization, stress fiber and focal adhesion formation, neurite retraction, cell adhesion and motility via phosphorylation of ADD1, BRCA2, CNN1, EZR, DPYSL2, EP300, MSN, MYL9/MLC2, NPM1, RDX, PPP1R12A and VIM. Phosphorylates SORL1 and IRF4. Acts as a negative regulator of VEGF-induced angiogenic endothelial cell activation. Positively regulates the activation of p42/MAPK1- p44/MAPK3 and of p90RSK/RPS6K [...] 
629	Ornithine aminotransferase, hepatic form	9606.ENSP00000357838	OAT	Ornithine aminotransferase, mitochondrial; Ornithine aminotransferase.
631	Bystin	9606.ENSP00000230340	BYSL	Bystin; Required for processing of 20S pre-rRNA precursor and biogenesis of 40S ribosomal subunits. May be required for trophinin- dependent regulation of cell adhesion during implantation of human embryos; Belongs to the bystin family.
632	Ras-related protein Rab-11B	9606.ENSP00000333547	RAB11B	Ras-related protein Rab-11B; The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes. Rabs cycle between an inactive GDP-bound form and an active GTP-bound form that is able to recruit to membranes different set of downstream effectors directly responsible for vesicle formation, movement, tethering and fusion. The small Rab GTPase RAB11B plays a role in endocytic recycling, regulating apical recycling of several transmembrane proteins including cystic fibrosis transmembrane conductance regul [...] 
633	60S ribosomal protein L34	9606.ENSP00000378163	RPL34	60S ribosomal protein L34; Component of the large ribosomal subunit. Belongs to the eukaryotic ribosomal protein eL34 family.
634	Dihydropyrimidinase-related protein 1	9606.ENSP00000321606	CRMP1	Dihydropyrimidinase-related protein 1; Necessary for signaling by class 3 semaphorins and subsequent remodeling of the cytoskeleton. Plays a role in axon guidance. During the axon guidance process, acts downstream of SEMA3A to promote FLNA dissociation from F-actin which results in the rearrangement of the actin cytoskeleton and the collapse of the growth cone. Involved in invasive growth and cell migration. May participate in cytokinesis.
635	ATP-binding cassette sub-family F member 1	9606.ENSP00000313603	ABCF1	ATP-binding cassette sub-family F member 1; Isoform 2 is required for efficient Cap- and IRES-mediated mRNA translation initiation. Isoform 2 is not involved in the ribosome biogenesis.
636	Collagen alpha-2(I) chain	9606.ENSP00000297268	COL1A2	Collagen alpha-2(I) chain; Type I collagen is a member of group I collagen (fibrillar forming collagen); Belongs to the fibrillar collagen family.
637	Dual specificity mitogen-activated protein kinase kinase 1	9606.ENSP00000302486	MAP2K1	Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity protein kinase which acts as an essential component of the MAP kinase signal transduction pathway. Binding of extracellular ligands such as growth factors, cytokines and hormones to their cell-surface receptors activates RAS and this initiates RAF1 activation. RAF1 then further activates the dual-specificity protein kinases MAP2K1/MEK1 and MAP2K2/MEK2. Both MAP2K1/MEK1 and MAP2K2/MEK2 function specifically in the MAPK/ERK cascade, and catalyze the concomitant phosphorylation of a threonine and a tyrosine resid [...] 
638	Glutaredoxin-1	9606.ENSP00000369314	GLRX	Glutaredoxin-1; Has a glutathione-disulfide oxidoreductase activity in the presence of NADPH and glutathione reductase. Reduces low molecular weight disulfides and proteins; Belongs to the glutaredoxin family.
639	Lipase maturation factor 2	9606.ENSP00000424381	LMF2	Lipase maturation factor 2; Involved in the maturation of specific proteins in the endoplasmic reticulum. May be required for maturation and transport of active lipoprotein lipase (LPL) through the secretory pathway (By similarity).
